Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
10004,"Coconut meat, dried (desiccated)",1,2730,4.3,1.6,6.7,63.7,16.1,7.6,663,25.7,2.7,88.8,210,536,36.5,2,3,0,0,0,0,0.08,0.1,0.6,9,9,0,2
 SD or min-max,,,,,0.4,6.6-6.8,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,4,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
10005,"Jack fruit, seed, mature, dry, raw",1,654,51.8,1.5,4.8,0.6,16.8,24.4,156,84,5.9,126,205,463,8,1.56,1,0,0,0,0,0.15,0.07,0.6,148,148,0,4.3
 SD or min-max,,,,,,,,,,,50-117,,,97-313,246-681,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,1,1,2,2,1,1,1,,,1,,1,1,1,,1,,1
10006,"Mustard Seeds, Dry, Raw",1,2160,8.2,4.2,18.8,[39.7],13.7,15.5,522,433,16,220,587,380,2,3.9,70,3,6,0,37,0.65,0.26,3.7,75,75,0,0
 SD or min-max,,,,7.8-8.5,,17.5-20,,,,,375-490,13.9-17.9,,474-700,,,,,,,,,,,,,,,
 n,,,,2,1,2,1,1,,,2,2,1,2,1,1,1,1,,,1,,1,1,1,,,,1
10007,"Nut, almond, with or without skin, raw, unsalted",1,2530,4.6,2.9,20.2,52.8,11,8.6,612,249,4.1,283,469,724,1,3.44,4,1,2,0,9,0.18,0.93,3.7,37,37,0,0.2
 SD or min-max,,,,0.35,0.2,1.5,49.9-55.6,3.1,,,21,0.5,31,20,22,1-2,0.29,1,,,,,0.03,0.6,0.1,,,,0.4
 n,,,,3,3,3,2,3,,,3,3,3,3,3,2,3,3,,,2,,3,3,3,,2,,3
10008,"Nut, cashew, dry, raw, unsalted",1,2470,5.9,2.3,16.5,48,5.8,21.5,595,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0
 SD or min-max,,,,4.3-7.6,2.3-2.4,15.6-17.4,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,2,2,2,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
10009,"Nut, ground nut, with skin, unsalted, dry, raw",1,2450,5.9,2.3,20.1,48.4,8.3,15,593,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0
 SD or min-max,,,,,,,,,,,25,3.9,125-325,75,215,0,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,3,3,2,3,3,3,1,1,,,1,,1,1,1,,1,,1
10010,"Nut, macadamia, raw, unsalted",0.27,2860,7.7,1.4,6.8,70.9,11.2,2,696,44,2.2,100,276,308,5,1.3,10,0,0,0,0,0.27,0.1,2,114,114,0,4.6
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
10011,"Nut, pistachio, raw, unsalted",1,2450,4.2,3,21,48,10.1,13.8,591,116,4.8,132,503,1030,5,2.07,6,16,31,0,187,0.81,0.17,1.2,63,63,0,1.4
 SD or min-max,,,,0.4,0,1.6,45.3-50.6,0.9,,,23,1.4,27,25,60,3,0.49,5,,,0-0,,0.17,0.1,0.3,,16,,2.8
 n,,,,4,3,4,2,3,,,4,4,4,4,4,4,4,3,,,2,,4,4,4,,3,,4
10012,Peanut Butter,1,2450,5.9,2.3,20.1,48.4,8.3,15,593,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0
 SD or min-max,,,,,,,,,,,25,3.9,125-325,75,215,0,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,3,3,2,3,3,3,1,1,,,1,,1,1,1,,1,,1
10013,"Seed, pumpkin, hulled & dried, unsalted",1,2380,8,4.7,24.3,47.6,5.8,9.6,575,50,5.5,519,1140,796,19,7.24,9,19,38,0,[228],0.33,0.16,1.6,56,56,0,1.9
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
10014,"Seed, sesame (sim sim) unsalted, dry, raw",1,2490,4.9,5,15.3,54.1,14.3,6.4,602,1430,9.7,333,803,322,7,1.72,21,0,1,0,5,1.01,0.34,5.1,103,103,0,0
 SD or min-max,,,,,,,,,,,183,2.5,128,80,255,7-8,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,5,5,5,6,5,2,1,1,,,,,1,1,1,,1,,1
10015,"Seed, sunflower, unsalted, dry, raw",0.52,2460,5.9,2.5,18.5,49.9,10.6,14.7,595,98,5,362,670,450,0,6,61,1,1,0,7,0.86,0.2,14.2,224,224,0,0
 SD or min-max,,,,0.7,,5,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,3,1,3,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,,1
10016,"Water Melon, Seed Kernel, Dry, Raw",1,2450,5,3.7,30,47.5,6,7.6,590,69,7.1,513,706,433,99,3.4,10,tr,tr,0,tr,0.12,0.2,3.1,58,58,0,0
 SD or min-max,,,,0.8,3.7-3.7,25.8-34.1,47.4-47.7,,,,27,0.5,2.89,474-937,,0,,,,,,,,0.08,0.85,,0,,
 n,,,,3,2,2,2,1,,,3,3,3,2,1,3,1,1,,,,,2,3,3,,3,,2
11001,"Honey, Raw  ",1,1370,19.2,0.3,0.4,0,0,80.1,322,11,0.6,3,4,74,17,3,,0,0,0,0,0,0,0,0,0,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
11002,"Sugarcane, Juice, Raw  ",1,159,90.2,0.4,0.1,[0.2],0.6,8.5,37,10,1.1,13,22,150,1,0.14,0,1,2,0,10.34,0.03,0.04,0.1,45,[45],0,6.7
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,0,,,1,1,1,1,1,,1,,1
11003,"Sugar, white, granulated or lump",1,1700,0,0,0,0,0,100,400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SD or min-max,,,,,0,,0,0,,,,,,,,,0,0,,,0,,,,,,,,0
 n,,,,1,4,1,4,4,,,1,1,1,1,1,1,4,4,,,4,0,1,1,1,,1,,4
12001,"Beef, broth",1,26,98.1,0.7,0.9,0.3,0,0,6,4,0,4,56,144,266,0.03,1,1,1,0.67,0,0.01,0.03,0.4,2,2,0,0
SD or min-max,,,,1,0,1.2,0.4,0,,,1,0,3,,,113,0.03,0,,,,,0.02,0.04,0.66,,,,0
n,,,,3,3,3,3,3,,,3,3,3,1,1,3,3,3,,,,,3,3,3,,1,,3
12002,"Coconut, fresh, water",1,98,93.9,0.4,0.8,0.1,0,4.8,23,24,0.2,11,14,130,5,0.13,1,0,0,0,0,0.01,0.05,0.1,14,14,0,[2.5]
SD or min-max,,,,93.8-94,0.3-0.5,0.2-1.4,0-0.1,0-0,,,24-24,0.1-0.3,11-11,10-18,,,0.09-0.16,1-1,,,,,,,,,,,
n,,,,2,2,2,2,2,,,2,2,2,2,1,1,2,2,,,,,2,2,2,,2,,2
12003,"Coffee, instant, dry powder or granules",1,1310,3.1,9.9,16.1,1,20,50.4,311,145,3.9,350,320,3690,83,0.71,9,0,0,0,0,0,1,42.9,13,13,0,2
SD or min-max,,,,2.7-3.4,,,,,,,140-150,3.1-4.6,330-370,310-330,3600-3780,81-84,0.32-1.1,9-9,,,,,,,,,,,
n,,,,2,1,1,1,1,,,2,2,2,2,2,2,2,2,,,1,,2,2,2,,2,,2
12004,"Drinking chocolate, powder",1,2260,1,1.4,4.4,30.9,2,60.4,541,60,2,98,128,591,120,1.55,3,61,62,60,9,0.03,0.15,0.5,6,6,0,1
SD or min-max,,,,,,,30.6-31.1,,,,,,,,,,,,,,,,,,,,,,
n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
12005,"Tea, chai, instant dry powder",1,1270,5.1,16,20.2,0,8.5,50.2,299,118,2.3,272,239,6040,72,1.7,15,0,0,0,1,0,0.99,10.8,103,103,0,0
SD or min-max,,,,5.1-5.1,16-16,20.2-20.2,,8.5-8.5,,,118-118,2.3-2.3,272-272,239-239,6040-6040,72-72,1.69-1.7,5-5,,,,,,0.99-0.99,10.8-10.8,,103-103,,0-0
n,,,,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,2,2,2,,2,,2
12006,"Water, tap",1,0,99.95,0.05,0,0,0,0,0,3,0,1,0,1,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
SD or min-max,,,,99.9-100,0-0.1,0-0,0-0,0-0,,,2-3,0-0,1-1,0-0,0-1,3-3,0-0,0-0.3,,,0-0,,0-0,0-0,0-0,0-0,,0-0,0-0
n,,,,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,2,2,2
12007,"Wine, Red",1,306,88.4,0.3,0.2,0,0,1.8,74,8,0.3,11,16,89,10,0.07,1,0,0,0,0,0,0,0.3,1,1,0,0
SD or min-max,,,,87.9-88.8,,0.2-0.2,,,,,7-8,0.2-0.4,10-11,14-17,89-89,8-11,0.06-0.07,,,,,,,,,,,,
n,,,,2,1,2,2,1,,,2,2,2,2,2,2,2,1,,,1,,1,1,2,,2,,2
12008,"Wine, White, Dry",1,313,88.7,0.2,0.1,0,0,0.7,76,8,0.5,8,12,54,14,0.08,1,0,0,0,0,0,0,0.1,0,0,0,2
SD or min-max,,,,88.2-89.1,,0.1,0,,,,7-9,,8-8,6-18,46-61,4-24,,,,,,,,,,,,,
n,,,,2,1,3,3,2,,,2,1,2,2,2,2,1,1,,,1,,1,1,2,,1,,2
12009,"Wine, White, Sweet",1,391,84,0.2,0.2,0,0,5.4,94,10,0.6,9,16,81,20,0.08,1,0,0,0,0,0,0,0.1,0,0,0,1.5
SD or min-max,,,,80.6-87.4,,0.2-0.2,0,,,,6-14,,6-11,13-18,51-110,13-26,,,,,,,,,,,,,
n,,,,2,1,2,3,2,,,2,1,2,2,2,2,1,1,,,1,,1,1,2,,1,,2
13001,Anise seed,1,1610,9.5,7,14.9,15.9,14.6,38.1,384,648,37,170,440,1440,16,5.3,5,16,32,0,,0.34,0.29,3.1,10,10,0,21
SD or min-max,,,,9.5-9.5,,,15.9-15.9,,,,646-650,37-37,170-170,440-440,1440-1441,16-16,5.3-5.3,,,,,,,,,,,,
n,,,,2,1,1,2,1,,,2,2,2,2,2,2,2,1,1,1,1,,1,1,1,,1,,1
13002,"Baking powder, dry powder",1,760,4.9,50.2,0.1,0.2,0.8,43.9,179,4280,9.7,34,8410,10200,8850,0.89,0,0,0,0,0,0,0,0,0,0,0,0
SD or min-max,,,,1.7,19.9,0.1,0.2,1.2,,,3117,8.2-11.3,29-39,1525,10100-10392,2610,1.32,0,,,,,,0.01,0,0.1,,0-0,
n,,,,4,3,3,3,3.0,,,3,2,2,3,2,3,4,3,,,2,,3,3,3,,2,,4
13003,"Baking soda (bicarbonate), dry powder",0.9,0,0.3,36.9,0,0,0,0,0,0,0.0,0,0,0,27400,0,0,0,0,0,0,0,0,0,0,0,0,0
SD or min-max,,,,0.2-0.3,36.9-36.9,,,,,,0-0,0-0,0-0,0-0,0-0,27360-27380,0-0,0-0,,,,,,0-0,0-0,0-0,,0-0,
n,,,,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,2,2,2,,2,,2
13004,"Bay leaf, dried",1,1480,5.4,3.6,7.6,8.4,26.3,48.7,353,832,43,120,112,530,23,3.7,3,309,618,0,3710,0.01,0.42,2,180,180,0,46.5
SD or min-max,,,,5.4-5.4,,7.6-7.6,8.4-8.4,,,,830-834,43-43,120-120,110-113,529-530,23-23,3.7-3.7,,,,,,,0.01-0.01,0.42-0.42,2-2,,,
n,,,,2,1,2,2,1,,,2,2,2,2,2,2,2,1,,,1,1,2,2,2,,1,,1
13005,"Cardamom, seeds, ground",1,1350,8.3,5.5,8.5,6.7,28,42.4,322,383,14,215,165,1120,18,7.47,1,0,0,0,0,0.21,0.18,1.1,[4],[4],0,21
SD or min-max,,,,,0.2,2,,,,,,,200-229,152-178,,,,,,,,,,0.2-0.22,0.17-0.18,, 3-5,,
n,,,,1,3,3,1,1,,,1,1,2,2,1,1,1,1,,,1,0,2,2,1,,2,,1
13006,"Chilli, fresh, raw",0.9,188,85.7,1.2,1.2,0.4,4.8,6.9,45,15,1.2,30,51,320,3,0.27,1,45,91,0,545,0.09,0.11,0.9,23,23,0,94.1
SD or min-max,,,,,,,0.3-0.4,,,,,,,,,,,1-1,,,,,,,,,,23-23,
n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,2,,,,,1,1,1,,2,,1
13007,"Chilli, dried",1,1280,12.6,7,13.9,[9.9],31.2,25.5,309,142,6.2,175,274,2250,19,1.66,19,195,390,0,2342,0.95,0.43,6.9,52,52,0,31.4
SD or min-max,,,,12.5-12.8,6.2-7.8,12.1-15.8,3,,,,125-159,,,263-284,,,,,,,,,,,,,,,
n,,,,2,2,2,3,1,,,2,1,1,2,1,1,1,1,,,,1,1,1,1,,1,,1
13008,"Cinnamon, dried, ground",1,1010,13.1,2.9,2.8,2.6,52.3,26.3,244,1183,8.3,54,21,482,17,2,3,3,7,0,[39],0.02,0.07,1.3,28,28,0,27.9
SD or min-max,,,,11.8-14.5,2.5-3.3,2.5-3.1,,,,,,,,,,,,,,,,,,,,,,,
n,,,,2,2,2,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
13009,"Cloves, dry, raw",1,1040,27.6,5.4,6,10.4,34.5,16,251,536,14.2,253,86,877,183,1.13,8,6,13,0,78,0.08,0.13,1.2,20,20.1,0,0
SD or min-max,,,,25.2-30.1,5.2-5.7,5.2-6.9,,,,,332-740,11.8-16.7,225-280,76-95,485,,,,,,,,,,,,,,
n,,,,2,2,2,1,1,,,2,2,2,2,3,1,1,1,,,,,1,1,1,,1,,1
13010,"Coconut, Milk",1,579,82.4,0.3,1,14.3,0.3,1.8,140,5,0.5,10,43,131,19,0.26,2,0,0,0,0,0.02,0.01,0,14,14,0,0.9
SD or min-max,,,,80.8-83.9,,,12.8-15.8,0.2-0.3,,,,,9-10,,116-146,18-20,0.25-0.27,2-2,,,0-0,,,,0-0,,14-14,,
n,,,,2,1,1,2,2,,,1,1,2,1,2,2,2,2,,,2,0,1,1,2,,2,,1
13011,"Coriander Leaves, fresh, raw",0.83,241,81.9,2.9,3.3,0.7,3.5,7.7,57,115,6.6,45,44,578,40,0.54,1,317,635,0,3810,0.3,0.1,0.9,62,62,0,35.9
SD or min-max,,,,3.2,0.8,,,,,,84-146,,18-73,26,,22-58,0.4-0.68,0-1,,,,,,,0.7-1.1,,,,23.9-48
n,,,,4,4,1,1,1,,,2,1,2,4,1,2,2,2,,,,,1,1,2,,1,,2
13012,"Coriander seed, dried, ground",1,1430,10.7,5.3,13.4,18.8,41.7,10.1,347,613,20.1,245,347,1189,27,3.6,24.9,10,20,0,122,0.22,0.35,3.4,86,86,0,29
SD or min-max,,,,0.5,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,
n,,,,3,3,3,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
13013,"Cumin seeds, dried, raw",1,1790,8.7,5.3,13.7,25.8,20.4,26.1,432,854,38.4,330,308,1213,124,4.05,5,44,88,0,527,0.55,0.19,3.2,90,90,0,15
SD or min-max,,,,3.2,4.9-5.8,11.8-15.6,,10.5-30.4,,,830-878,31-45.8,,176,692,44,3.8-4.29,4-5,,,,,,0.13-0.24,2.9-3.6,,,,0-30
n,,,,4,2,2,1,2,,,2,2,1,4,3,3,2,2,,,1,,1,2,2,,1,,2
13014,"Curry leaves, fresh, raw",0.83,355,66.9,4.9,7.7,1.3,16.8,2.5,86,740,6.9,201,70,584,19,1.18,17,645,1290,0,7740,0.08,0.17,1.6,94,94,0,7
SD or min-max,,,,65.3-68.4,,7.4-7.9,,,,,659-820,5.1-8.7,182-220,57-83,,,,,,,,,0.07-0.08,0.13-0.21,0.9-2.3,,,,6-8
n,,,,2,1,2,1,1,,,2,2,2,2,1,1,1,1,,,0,,2,2,2,,1,,2
13015,Curry powder,1,1430,10,7.6,10.8,13.8,27.2,30.6,344,479,34.3,333,301,1728,52,4.08,17,80,161,0,965,0.25,0.28,3.5,56,56,0,11
SD or min-max,,,,,3.4,,,,,,478-480,8.2,136,83,322,52-52,4.05-4.1,17-17,,,,,0.25-0.25,0.28-0.28,3.5-3.5,,,,11-11
n,,,,1,3,1,1,1,,,2,3,3,3,3,2,2,2,,,1,,2,2,2,,1,,2
13016,"Fenugreek leaves, fresh, raw",0.44,158,87.3,1,4.4,0.2,4.9,2.2,38,185,7.8,61,48,96,66,0.54,4,609,1220,0,7300,0.12,0.26,1.2,75,[75],0,80.1
SD or min-max,,,,0.5,04-1.7,,,,,,77,1.8,3,5,113,17,,1-7,,,,,0.01,0.03,0.4,,,,18.9
n,,,,3,2,1,1,1,,,3,3,3,3,3,3,1,2,,,,,3,3,3,,1,,3
13017,"Fenugreek seeds, raw",1,1290,9.8,3,21.4,6.4,36.1,23.4,309,160,14.1,183,370,530,48,2.93,8,8,15,0,91,0.34,0.29,1.5,57,57,0,3
SD or min-max,,,,2.7,,1.8,,24.6-47.6,,,,,14,,,23,0.75,2,,,,,,0.13,0.2,,57-57,,3-3
n,,,,4,1,3,1,2,,,1,1,3,1,1,4,3,3,,,,,1,3,3,,2,,2
13018,Garam masala,1,1530,10.1,5.6,15.6,15.1,[22.6],31,368,760,32.6,330,390,1450,97,3.8,17,28,57,0,340,0.35,0.33,2.5,0,0,0,0
SD or min-max,,,,10.1-10.1,,15.6-15.6,,,,,760-760,32.6-32.6,330-330,390-390,1450-1450,97-97,3.8-3.8,,,,,,0.35-0.35,0.33-0.33,2.5-2.5,,0-0,,0-0
n,,,,2,1,2,1,1,,,2,2,2,2,2,2,2,1,,,1,,2,2,2,,2,,2
13019,"Garlic, peeled or unpeeled, fresh, raw",0.85,638,62,1,6.3,2.8,5.2,22.7,152,30,1.3,25,39,510,8,1,14,0,0,0,0,0.23,0.4,0.8,3,3,0,11
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
13020,"Ginger, dried, ground",0.85,1400,9.9,6.3,6.9,4.5,12.9,59.4,332,152,24.3,335,310,1225,50,3.72,55,80,161,0,965,0.16,0.27,3.5,88,88,0,29
SD or min-max,,,,4.42,5.7-6.9,6.3-7.6,,,,,131-172,,180-490,194-426,,42-57,,,,,,,,,,,,,
n,,,,3,2,2,1,1,,,2,1,2,2,1,2,1,1,,,1,,1,1,1,,1,,1
13021,"Green Ginger (Mature), fresh, raw",0.94,374,73.6,1.7,2.6,1.1,7.7,13.4,89,46.8,1.9,38,93.7,661,18,1,2,3,6,0,35,0.03,0.06,2.5,30,30,0,8
SD or min-max,,,,66.2-80.9,,2.3-2.8,,,,,,1.1-2.6,,,,,,,,,,,,,,,,,
n,,,,2,1,2,1,1,,,1,2,1,1,1,1,1,1,,,,,1,1,1,,1,,1
13022,"Mint Leaves, fresh, raw",0.45,182,84.9,1.9,4.8,1.1,7.2,0.1,44,200,3.6,34,62,380,28,0.8,1,62,123,0,[740],0.15,0.09,1.7,114,114,0,26
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,0.05-0.13,,,,,
n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,2,1,,1,,1
13023,"Onion, mature, red skinned, peeled, fresh, raw",1,177,87.9,0.6,1.5,0.1,2.3,7.6,42,26,0.9,19,40,152,5,0.16,1,1,2,0,10,0.02,0.04,0.3,14,14,0,7
SD or min-max,,,,5.7,0.1,0.3,,,,,7,0.8-1,7.09,12.4,37.2,2,,,,,,,,,,,,,
n,,,,4,4,4,1,1,,,3,2,3,4,3,4,1,1,,,,1,1,1,1,,1,,1
13024,"Onion, spring, raw",0.78,130,90.8,0.7,1.8,0.3,2.3,4.1,31,44,1.3,14,34,225,12,0.3,1,53,105,0,632,0.04,0.06,0.6,48,48,0,26
SD or min-max,,,,1.2,0.5-0.8,0.2,0.2,1.9-2.6,,,25,0.7,5,5,74,5,0.17,1-1,,,,,0.02,0.02,0.4,,20,,5.5
n,,,,3,2,3,3,2,,,3,3,3,3,3,3,3,2,,,,,4,4,4,,3,,4
13025,"Parsley, fresh, raw",0.82,220,81.4,3.2,5.9,0.2,5.1,4.2,52,390,5.06,35,175,1290,54,0.88,0,354,708,0,4250,0.15,0.04,1.1,55,55,0,119
SD or min-max,,,,74.6-88.2,,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,2,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
13026,"Pepper, ground, black, dry, raw",1,1250,11.8,4.3,10.3,2.7,26.3,44.7,297,463,19.4,253,188,576,25,1.28,3,14,29,0,171,0.09,0.14,0.7,10,10,0,0
SD or min-max,,,,1.9,4.2-4.4,1.19,,,,,460-466,9.8,145-360,11,412-741,,,,,,,,,,,,,,
n,,,,3,2,3,1,1,,,2,3,2,3,2,1,1,1,,,,,1,1,1,,1,,1
13027,"Salt, Iodized",1,0,0.2,99.8,0,0,0,0,0,32,0.1,1,6,98,38500,0.1,2,0,0,0,0,0,0,0,0,0,0,0
SD or min-max,,,,0.2-0.2,99.8-99.8,,,,,,29-34,0-0.2,,3-8,,38168-38850,0.1-0.1,,,,,,0-0,0-0,0-0,,0-0,,
n,,,,2,2,2,1,1,,,2,2,1,2,1,2,2,1,,,1,0,2,2,2,,2,,2
13028,"Spice, mixed or all spice",1,1490,8.5,3.8,9.4,16.3,35.8,26.3,360,727,35.5,203,277,1440,90,3.65,3,55,109,0,656,0.25,0.45,4.9,52,52,0,30
SD or min-max,,,,6.9-10.1,,5.5-13.2,13.3-19.2,,,,490-963,32.3-38.7,172-234,235-319,1000-1878,,3.2-4.1,,,,,,0.21-0.3,0.21-0.69,2.8-6.9,,33-70,,
n,,,,2,1,2,2,1,,,2,2,2,2,2,1,2,1,,,1,,2,2,2,,2,,1
13029,"Tamarind, fruit, dry, raw",,1260,21.3,2.4,5,[0.6],5.3,65.4,298,166,9,83,190,836,25,1,2,0,0,0,1.54,60,0.18,2,10,[10],0,[0.6]
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,,,,1,1,1,1,0,,,1,1,1,1,1,1,1,1,,,,1,1,1,,1,,1,
13030,"Tamarind, fruit, fresh, raw",,1260,20.8,2.2,2,[0.2],5.3,69.5,298,105,9.2,83,105,836,25,0.58,2,0,0,0,1.54,0.34,0.07,1.6,10,[10],0,3.6
SD or min-max,,,,,1-3.4,,0.2-0.2,,,,60-149,,,97-113,,,,,,,,,,,,,,,
 n,,,,1,2,1,2,1,,,2,1,1,2,1,1,1,1,,,,1,1,1,1,,1,,1
13031,"Tomato, sauce (Ketchup)",1,489,67.5,3.4,1.6,0.2,1.5,26.1,115,13,0.7,16,28,316,918,0.18,0.5,22,43,0,[260],0,0.1,1.3,16,16,0,0
SD or min-max,,,,65-69.9,,1.2-2,,,,,,,,,,,,,,,,,,,,,,,
n,,,,2,1,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,1,1
13032,"Tomato, paste, with added salt",1,329,76.2,3,3.2,0.3,4.1,13.6,78,30,1.7,43,71,911,630,0.57,4,113,225,0,1350,0.13,0.13,2.8,17,17,0,15
SD or min-max,,,,75.9-76.5,2.4-3.5,3.1-3.2,,,,,28-32,1.6-1.8,38-47,68-73,862-960,,0.4-0.74,3-5,,,,,0.12-0.14,0.08-0.17,2.8-2.8,,12-21,0-0,14-15
n,,,,2,2,2,1,1,,,2,2,2,2,2,1,2,2,,,,,2,2,2,,2,2,2
13033,"Tomato, soup, condensed, canned",1,227,84,2.3,1,0.3,1.9,10.8,54,10,0.4,13,21,290,545,0.3,0.5,11,22,0,130,0.3,0,1.3,3,3,0,4
SD or min-max,,,,,,,,,,,,,,,,450-640,,,,,,,,,,,,,
n,,1,,1,1,1,1,1,,,1,1,1,1,1,2,1,1,,,,,1,1,1,,1,,1
13034,"Turmeric, dried, ground",1,1260,13.7,5.2,6.3,[3.1],20,51.7,300,500,39,225,284,1250,25,3.6,4.3,80,161,0,965,0.26,0.23,3.4,85,85,0,30
SD or min-max,,,,13.1-14.2,3.5-7,6.3-6.3,1.1-5.1,,,,,,,,,,,,,,,,,,,,,,
n,,,,2,2,2,2,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
13035,"Yeast, dry powder",1,1460,7.9,6.6,35.7,4.9,19.3,30.5,347,120,3.4,230,1690,2000,50,8,1,0,0,0,0,2.8,4,8.5,4000,4000,0,0
SD or min-max,,,,,4.8-8.4,,,,,,80-160,,,1290-2090,,,,,,,,,2.3-3.2,,,,,,
n,,1,,1,2,1,1,1,,,2,1,1,2,1,1,1,1,,,1,,2,1,1,,1,,2
14001,"Grasshopper, Brown, Fresh, Raw",1,708,71.9,0.7,[12.8],[12.8],1.41,0.3,170,7,3.7,10,35,75,66,3.57,-,174,174,174,tr,-,1.04,0.2,1,1,-,3.2
SD or min-max,,,,0.6,,,,,,,,,,,,,,,,,81,,,0.55,,,,,
n,,,,3,1,1,1,,,,1,1,1,1,1,1,1,,,,3,,,3,1,,1,,1
14002,"Grasshopper, Green, Fresh, Raw",1,872,66.3,0.9,[14.5],[16.3],1.3,0.7,210,9,5.6,11,47,125,121,5.81,-,94,94,94,tr,-,0.93,3.6,1,1,-,[0.6]
SD or min-max,,,,0.1,,,,,,,,,,,,,,,,,20,,,0.46,,,,,
n,,,,3,1,1,1,,,,1,1,1,1,1,1,1,,,,3,,,3,1,,1,,1
14003,"Termite, Dry, Raw   ",1,2310,7,5.4,35,[43.6],5.5,3.4,557,91,35.2,5,609,388,1969,0.09,4,100,100,100,tr,0.08,3.56,3.9,0,0,-,[0.3]
SD or min-max,,,,4.4,2.4,10.1,10.1,,,,,,,,300-476,,,,,,,,,2.05,,,,,
n,,,,5,3,4,3,,,,1,1,1,1,2,1,1,1,,,2,,2,4,2,,1,,
14004,"Termite, Fresh, Raw   ",1,1530,36.8,3.8,30.9,27,2.7,0,367,1460,8.3,15,780,200,4,-,-,224,224,224,tr,-,4.18,2.8,0,0,-,[0.7]
SD or min-max,,,,25.7,,8.7,22.5-31.5,,,,,,,,,,,,,,,,,,,,,,
n,,,,5,1,3,2,,,,1,1,1,1,1,1,,,,,2,,,2,1,,1,,
15001,Maize Porridge,,221,87.5,0.3,1.5,1.1,1.1,8.5,52,25,0.3,12,64,50,10,0.33,2,7,7,7,3,0.02,0.05,0.2,7,7,0.09,0
15002,"Sorghum, Finger Millet and Maize Porridge",,174,89.8,0.4,1.3,0.9,1.3,6.3,41,33,0.5,14,47,57,10,0.27,2,7,7,7,3,0.02,0.05,0.3,5,5,0.09,0
15003,Kaimati (Fried Dumplings),,1795,18.8,0.4,4.6,21.8,1.6,52.8,429,17,2.1,16,93,81,4,0.45,0,30,30,30,1,0.33,0.25,2,209*,76,0.25,0
